genre,top,left,font_pct
canadian metal,8122,232,104
canadian metalcore,5126,183,101
canadian modern jazz,17329,729,101
canadian old school hip hop,9381,1051,101
canadian pop,9390,646,122
canadian pop punk,4208,264,103
canadian post-hardcore,7584,196,101
canadian post-punk,6940,339,100
canadian post-rock,13141,302,100
canadian psychedelic,13195,571,100
canadian psychedelic rock,9550,300,100
canadian punk,7063,258,103
canadian rock,6124,400,106
canadian rockabilly,14390,680,100
canadian shoegaze,8407,163,100
canadian singer-songwriter,13750,599,105
canadian soundtrack,16160,209,102
canadian stoner rock,10648,176,100
canadian trap,5453,1071,105
canadian underground hip hop,11155,975,100
canberra indie,14119,1094,100
cancion infantil latinoamericana,13807,1030,102
cancion infantil mexicana,12289,1013,101
cancion melodica,16891,607,106
cancoes infantis,9866,1075,100
candombe,11378,969,100
candomble,17767,705,100
candy pop,4500,544,107
cantaditas,1713,917,100
cantautor,13996,763,108
cantautor catala,14625,689,100
cantautora argentina,13920,830,101
cantautora mexicana,9167,779,104
cante alentejano,20397,612,100
cante flamenco,19416,851,101
canterbury scene,13800,420,100
canti alpini,19258,433,100
canto a tenore,21011,554,100
canto popular uruguayo,17095,935,101
cantonese opera,16014,551,100
cantonese traditional,19533,360,100
cantonese worship,14599,473,100
cantopop,10425,615,105
canzone d'autore,15299,633,103
canzone genovese,17412,591,101
canzone napoletana,17546,526,102
canzone siciliane,9382,895,100
cape breton folk,16151,563,100
cape breton indie,10687,563,100
cape town indie,4496,804,101
cape verdean folk,13884,849,100
capoeira,14367,1073,100
caracas indie,6247,586,100
cardiff indie,10773,456,100
caribbean metal,9340,270,100
carimbo,7780,858,101
carnatic,19048,765,101
carnatic instrumental,17896,851,100
carnatic vocal,19667,724,101
carnaval,3127,828,102
carnaval cadiz,12191,837,101
carnaval limburg,7888,843,100
cartoni animati,5097,837,100
cartoon,11665,1203,104
cascadia psych,12998,439,100
cascadian black metal,11526,34,100
catalan folk,18016,786,100
cathedral choir,22036,71,100
caucasian classical,20965,342,100
caucasian classical piano,22363,508,100
caucasian folk,20517,325,100
cavernous death metal,11673,64,100
ccm,7174,346,111
cdmx indie,6766,554,101
cdo indie,7805,828,102
cedm,3887,697,101
ceilidh,13638,718,100
cello,14565,344,101
cello ensemble,21206,225,100
celtic,16102,501,103
celtic harp,20456,763,100
celtic metal,7445,203,102
celtic punk,7743,346,102
celtic rock,10956,439,104
central american metal,7976,277,100
central asian folk,18335,731,100
central asian hip hop,6501,1058,102
cerkes muzikleri,6372,758,100
ceske chvaly,10785,607,100
cha-cha-cha,16669,955,101
chaabi algerien,18004,734,100
chaabi marocain,10726,815,100
chabad niggunim,15430,604,100
chain punk,10416,129,100
chakma pop,7273,815,100
chakra,20193,95,100
chalga,3644,943,102
chamame,13913,1007,101
chamame brasilero,10307,911,100
chamber choir,22151,110,100
chamber ensemble,21279,348,100
chamber folk,17020,469,100
chamber orchestra,21133,321,100
chamber pop,13108,473,110
chamber psych,10048,515,101
chamorro pop,12018,858,100
champeta,3870,1134,101
channel islands indie,10773,576,101
channel pop,14120,748,102
chanson,16202,756,107
chanson humoristique,17592,1068,101
chanson paillarde,13782,1015,101
chanson quebecois,14414,633,101
chanson virale,8446,1004,101
chant basque,15058,573,100
chant religieux,19141,300,100
chaotic black metal,11502,103,100
chaotic hardcore,10929,152,101
chapman stick,14500,591,100
charanga,15534,1013,100
charango,14786,961,100
charlotte nc indie,9599,435,100
charlottesville indie,11622,526,100
charred death,7012,129,100
charva,3419,1084,103
chasidic pop,10195,604,100
chattanooga indie,10362,599,100
chechen pop,5551,874,100
chennai indie,7372,689,100
chhattisgarhi pop,10930,763,100
chicago blues,17504,1004,102
chicago bop,5224,965,103
chicago drill,6425,1005,105
chicago hardcore,9008,262,102
chicago house,828,1266,102
chicago indie,11527,517,103
chicago mexican,12104,939,100
chicago pop punk,5553,292,101
chicago punk,7621,319,102
chicago rap,6791,1011,114
chicago soul,15134,741,102
chicano punk,10146,362,100
chicano rap,4571,1143,104
chicha,11179,961,102
chihuahua indie,9819,703,102
children's choir,16115,547,101
children's folk,13844,1032,102
children's music,12524,1066,107
children's story,18001,851,101
chilean black metal,11161,85,100
chilean hardcore,5361,571,101
chilean indie,8613,650,102
chilean metal,9896,251,100
chilean rock,9468,741,104
chilean techno,1330,1013,100
chilena,12351,1079,102
chill abstract hip hop,11630,839,102
chill baile,3534,1123,100
chill beats,4248,979,101
chill breakcore,4688,537,102
chill dream pop,5480,380,102
chill drill,9593,1153,103
chill groove,3581,1055,100
chill guitar,18995,1152,102
chill house,6855,756,106
chill lounge,4682,899,102
chill out,8564,941,101
chill phonk,3010,770,103
chill pop,10714,781,104
chill r&amp;b,10499,860,105
chill-out trance,3594,630,100
chillhop,10969,1060,104
chillstep,6653,506,102
chillsynth,3945,736,102
chillwave,6296,599,104
chimurenga,12786,911,100
chinderlieder,14933,1177,101
chinese audiophile,14712,581,100
chinese bgm,17008,746,101
chinese black metal,8370,111,100
chinese classical,21291,329,100
chinese classical performance,21743,376,100
chinese classical piano,22309,471,100
chinese drama ost,10919,540,101
chinese electronic,5377,819,100
chinese electropop,5419,779,101
chinese experimental,11759,583,100
chinese folk,12142,479,100
chinese hip hop,6967,1007,101
chinese idol pop,5085,751,101
chinese indie,10907,530,102
chinese indie pop,6593,636,100
